name,strain_type,description,image_filename,flavor_profile,aroma_profile,thc_min,thc_max,cbd_min,cbd_max,effects,terpenes,states
Jack the Ripper,sativa,Fast-acting clarity and sharp mental focus,jack_the_ripper.jpg,lemon pine,sharp citrus,19,25,0,1,focused:0.95,terpinolene:0.9,"debugging-mode:0.92,deep-focus:0.85"
Durban Thai,sativa,Clear energetic thinking with smooth focus,durban_thai.jpg,spicy citrus,earthy herbal,18,24,0,1,focused:0.9,pinene:0.8,"debugging-mode:0.9,system-design-thinking:0.82"
Colombian Gold,sativa,Classic cerebral clarity with sustained focus,colombian_gold.jpg,citrus spice,earthy sweet,17,23,0,1,focused:0.9,limonene:0.8,"system-design-thinking:0.9,deep-focus:0.82"
Panama Red,sativa,Creative and analytical uplift with smooth clarity,panama_red.jpg,herbal citrus,sweet woody,16,22,0,1,creative:0.85,limonene:0.75,"storyboarding-mind:0.88,idea-generation:0.82"
Strawberry Banana,hybrid,Balanced clarity with creative smoothness,strawberry_banana.jpg,strawberry tropical,sweet fruity,18,25,0,1,creative:0.85,limonene:0.8,"storyboarding-mind:0.86,music-production-mode:0.82"
Headband,hybrid,Focused mental pressure with strong clarity,headband.jpg,lemon diesel,pungent earthy,19,27,0,1,focused:0.9,caryophyllene:0.8,"editing-mode:0.88,deep-focus:0.82"
Fire OG,hybrid,Strong structured focus with high potency,fire_og.jpg,lemon pine,earthy fuel,20,28,0,1,focused:0.9,pinene:0.8,"system-design-thinking:0.9,editing-mode:0.82"
Critical Mass,indica,Calm grounded focus with mild sedation,critical_mass.jpg,sweet citrus,earthy skunk,16,22,0,1,focused:0.75,myrcene:0.7,"editing-mode:0.85,late-night-vibes:0.78"
Black Jack,hybrid,Sharp clarity with creative hybrid balance,black_jack.jpg,lemon spice,earthy woody,18,24,0,1,focused:0.85,terpinolene:0.8,"debugging-mode:0.88,system-design-thinking:0.82"
Power Plant,sativa,High-energy thinking with structured clarity,power_plant.jpg,pepper citrus,herbal woody,18,25,0,1,focused:0.9,pinene:0.85,"system-design-thinking:0.88,debugging-mode:0.82"
Hawaiian Snow,sativa,Bright cerebral expansion with mental clarity,hawaiian_snow.jpg,tropical citrus,sweet floral,19,26,0,1,creative:0.85,terpinolene:0.8,"storyboarding-mind:0.88,idea-generation:0.84"
Super Jack,sativa,Focused high-energy thinking with strong uplift,super_jack.jpg,citrus pine,herbal sharp,19,26,0,1,focused:0.9,pinene:0.85,"debugging-mode:0.9,editing-mode:0.82"
Agent Orange,sativa,Creative citrus uplift with bright clarity,agent_orange.jpg,orange citrus,sweet zest,17,24,0,1,creative:0.9,limonene:0.9,"storyboarding-mind:0.9,idea-generation:0.85"
Grapefruit,sativa,Light uplifting focus with clean energy,grapefruit.jpg,grapefruit citrus,sweet tangy,16,22,0,1,focused:0.85,limonene:0.85,"editing-mode:0.86,creative-flow:0.8"
Cinex,sativa,High-energy clarity with creative mental stimulation,cinex.jpg,citrus pineapple,earthy sweet,18,25,0,1,focused:0.9,terpinolene:0.8,"debugging-mode:0.9,deep-focus:0.84"
Apollo 11,sativa,Fast cerebral activation with focused energy,apollo_11.jpg,citrus herbal,sweet sharp,18,25,0,1,focused:0.9,terpinolene:0.8,"debugging-mode:0.9,system-design-thinking:0.82"
Red Congolese,sativa,Clear-headed energy with strong mental focus,red_congolese.jpg,spice citrus,woody herbal,18,24,0,1,focused:0.9,pinene:0.85,"deep-focus:0.9,editing-mode:0.82"
Golden Goat,hybrid,Creative uplift with balanced focus, golden_goat.jpg,tropical citrus,sweet earthy,17,23,0,1,creative:0.85,limonene:0.8,"storyboarding-mind:0.86,idea-generation:0.82"
Quantum Kush,hybrid,Structured mental clarity with balanced calm,quantum_kush.jpg,herbal citrus,earthy pine,18,25,0,1,focused:0.85,caryophyllene:0.75,"system-design-thinking:0.86,deep-focus:0.82"
Alien Rift,hybrid,Creative mental expansion with clarity,alien_rift.jpg,berry citrus,earthy sweet,18,24,0,1,creative:0.85,terpinolene:0.75,"storyboarding-mind:0.86,creative-flow:0.82"
