name,strain_type,description,image_filename,flavor_profile,aroma_profile,thc_min,thc_max,cbd_min,cbd_max,effects,terpenes,states
Blue Dream,hybrid,Clear-headed creative uplift with smooth daytime balance,blue_dream.jpg,berry sweet,earthy herbal,17,24,0,1,creative:0.9,limonene:0.8,"creative-flow:0.9,idea-generation:0.85,music-production-mode:0.80,storyboarding-mind:0.82"
Jack Herer,sativa,Energetic clarity and focus with a bright cerebral lift,jack_herer.jpg,citrus pine,spicy herbal,18,24,0,1,focused:0.95,terpinolene:0.9,"deep-focus:0.9,debugging-mode:0.88,system-design-thinking:0.84"
Green Crack,sativa,Sharp focus and stimulation for active creative sessions,green_crack.jpg,mango citrus,sweet earthy,17,25,0,1,focused:1.0,terpinolene:0.9,"deep-focus:1.0,debugging-mode:0.90"
Gelato,hybrid,Relaxed creativity with soft euphoric calm,gelato.jpg,sweet creamy,dessert earthy,20,26,0,1,creative:0.8,myrcene:0.7,"cinematic-review:0.9,relaxed-creativity:0.88,late-night-vibes:0.84"
Wedding Cake,indica,Deep calming relaxation with rich body comfort,wedding_cake.jpg,vanilla sweet,peppery earthy,20,27,0,1,relaxed:1.0,myrcene:0.9,"cinematic-review:1.0,late-night-wind-down:0.90"
OG Kush,hybrid,Classic calming high with steady mental ease,og_kush.jpg,lemon pine,earthy diesel,18,25,0,1,relaxed:0.9,myrcene:0.8,"cinematic-review:0.9,late-night-vibes:0.82,relaxed-creativity:0.78"
Granddaddy Purple,indica,Heavy sedation and full body wind-down,gdp.jpg,grape berry,sweet earthy,17,24,0,1,sleepy:1.0,myrcene:0.9,"cinematic-review:1.0,late-night-wind-down:0.95"
Northern Lights,indica,Smooth sedation and stress relief for slower evenings,northern_lights.jpg,sweet pine,earthy spicy,16,23,0,1,sleepy:1.0,myrcene:0.9,"cinematic-review:1.0,late-night-wind-down:0.92"
Bubba Kush,indica,Tranquil body high with dense relaxing effects,bubba_kush.jpg,coffee cocoa,earthy sweet,18,25,0,1,relaxed:1.0,myrcene:0.9,"cinematic-review:1.0,late-night-wind-down:0.90"
Do-Si-Dos,hybrid,Relaxed uplifting mix with heavy evening comfort,dosidos.jpg,sweet floral,pungent earthy,20,28,0,1,relaxed:0.9,linalool:0.8,"cinematic-review:1.0,late-night-vibes:0.82,relaxed-creativity:0.84"
