name,image_filename
White Widow,white_widow.jpg
MAC 1,mac_1.jpg
Dutch Treat,dutch_treat.jpg
Flo,flo.jpg
Chemdawg,chemdawg.jpg
Gary Payton,gary_payton.jpg
Cinderella 99,cinderella_99.jpg
Super Silver Haze,super_silver_haze.jpg
LSD,lsd.jpg
Blue Dream,blue_dream.jpg
Tangie,tangie.jpg
Strawberry Cough,strawberry_cough.jpg
Tropicana Cookies,tropicana_cookies.jpg
Chocolope,chocolope.jpg
Jillybean,jillybean.jpg
Gelonade,gelonade.jpg
GSC,gsc.jpg
Pineapple Express,pineapple_express.jpg
Apple Fritter,apple_fritter.jpg
Gelato,gelato.jpg
OG Kush,og_kush.jpg
Sour Diesel,sour_diesel.jpg
Northern Lights,northern_lights.jpg
Granddaddy Purple,granddaddy_purple.jpg
Wedding Cake,wedding_cake.jpg
Runtz,runtz.jpg
Jealousy,jealousy.jpg
Zkittlez,zkittlez.jpg
Do-Si-Dos,dosidos.jpg
Jack Herer,jack_herer.jpg
Durban Poison,durban_poison.jpg
Trainwreck,trainwreck.jpg
Green Crack,green_crack.jpg
Skywalker OG,skywalker_og.jpg
Purple Punch,purple_punch.jpg
Lemon Haze,lemon_haze.jpg
Mimosa,mimosa.jpg
Headband,headband.jpg
Fire OG,fire_og.jpg
Critical Mass,critical_mass.jpg
Black Jack,black_jack.jpg
Power Plant,power_plant.jpg
Hawaiian Snow,hawaiian_snow.jpg
Super Jack,super_jack.jpg
Agent Orange,agent_orange.jpg
Grapefruit,grapefruit.jpg
Cinex,cinex.jpg
Apollo 11,apollo_11.jpg
Red Congolese,red_congolese.jpg
Golden Goat,golden_goat.jpg
Strawberry Banana,strawberry_banana.jpg
Jack the Ripper,jack_the_ripper.jpg
Durban Thai,durban_thai.jpg
Colombian Gold,colombian_gold.jpg
Panama Red,panama_red.jpg
Quantum Kush,quantum_kush.jpg
Alien Rift,alien_rift.jpg
